dur	TONICIDADE	ESTILO
182	PRE	TXTL
185	PRE	TXTL
242	PRE	TXTL
126	PRE	TXTL
143	PRE	TXTL
100	PRE	TXTL
120	PRE	TXTL
210	PRE	TXTL
186	PRE	TXTL
190	PRE	TXTL
195	TON	TXTL
200	TON	TXTL
190	TON	TXTL
187	TON	TXTL
229	TON	TXTL
223	TON	TXTL
207	TON	TXTL
220	TON	TXTL
187	TON	TXTL
190	TON	TXTL
112	PST	TXTL
120	PST	TXTL
83	PST	TXTL
154	PST	TXTL
133	PST	TXTL
114	PST	TXTL
89	PST	TXTL
105	PST	TXTL
137	PST	TXTL
129	PST	TXTL
179	PRE	ENTR
133	PRE	ENTR
170	PRE	ENTR
186	PRE	ENTR
179	PRE	ENTR
162	PRE	ENTR
142	PRE	ENTR
175	PRE	ENTR
186	PRE	ENTR
170	PRE	ENTR
201	TON	ENTR
181	TON	ENTR
232	TON	ENTR
233	TON	ENTR
230	TON	ENTR
180	TON	ENTR
185	TON	ENTR
242	TON	ENTR
220	TON	ENTR
210	TON	ENTR
51	PST	ENTR
34	PST	ENTR
91	PST	ENTR
32	PST	ENTR
114	PST	ENTR
103	PST	ENTR
97	PST	ENTR
53	PST	ENTR
101	PST	ENTR
57	PST	ENTR
178	PRE	PLIS
191	PRE	PLIS
203	PRE	PLIS
151	PRE	PLIS
210	PRE	PLIS
216	PRE	PLIS
161	PRE	PLIS
228	PRE	PLIS
227	PRE	PLIS
181	PRE	PLIS
272	TON	PLIS
276	TON	PLIS
295	TON	PLIS
290	TON	PLIS
271	TON	PLIS
332	TON	PLIS
303	TON	PLIS
296	TON	PLIS
340	TON	PLIS
301	TON	PLIS
254	PST	PLIS
283	PST	PLIS
331	PST	PLIS
356	PST	PLIS
319	PST	PLIS
343	PST	PLIS
271	PST	PLIS
289	PST	PLIS
296	PST	PLIS
306	PST	PLIS
