form subj chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
NProf A c1 234 37.33 33.73 189 311 48.8 14.2 1.56 0.32 6.35 -4.69 3.25 5.79 3.9 18 -11.8 -20.3 12.3 15.8 6.7 1.5 
NProf A c2 241 26.09 20.11 164 259 NA 2.2 NA NA 7.03 -2.26 6.22 3.35 4.3 19 -16.6 -25.5 11.4 15.3 8.9 2.8 
NProf A c3 233 23.95 20.20 184 279 24.8 16.2 1.99 0.23 4.31 -3.51 3.45 2.77 4.8 19 -13.8 -23.4 12.4 6.7 8.4 1.8 
NProf A c4 219 27.70 15.60 197 294 40.8 9.5 1.86 0.49 3.08 -2.89 2.67 4.28 3.2 23 -15.8 -18.9 10.5 10.3 8.2 2.0 
NProf A c5 250 35.74 29.47 205 338 36.1 16.4 1.40 0.03 6.34 -7.22 5.21 6.98 3.0 22 -13.3 -18.5 11.3 13.2 8.4 2.6 
NProf A c6 233 23.23 15.55 199 291 28.4 12.4 1.68 0.06 7.16 -3.59 5.17 3.73 4.2 20 -12.4 -17.2 11.0 11.0 7.7 2.3 
NProf A c7 221 16.87 14.55 186 252 9.2 14.2 1.17 0.26 3.01 -3.09 1.32 3.34 3.2 23 -13.8 -19.2 12.8 13.9 7.4 2.3 
NProf A c8 222 33.27 17.16 194 339 47.1 11.9 1.80 0.13 6.16 -5.33 4.83 6.39 3.2 19 -14.0 -20.5 13.7 6.7 7.3 1.6 
NProf A c9 238 18.80 15.55 203 281 19.5 12.4 1.41 0.42 4.05 -2.92 2.44 3.22 4.5 22 -15.5 -20.5 12.6 2.7 6.5 1.7 
NProf A c10 232 36.69 17.62 188 345 50.9 12.1 1.44 0.16 4.46 -4.82 3.61 5.36 4.2 17 -14.4 -22.8 13.3 9.0 6.6 1.6 
NProf A c11 246 20.72 11.92 191 279 13.8 11.3 1.96 0.29 4.41 -3.86 3.51 3.45 3.3 20 -16.1 -19.0 12.8 7.4 8.0 2.0 
NProf A c12 213 41.63 12.00 191 388 69.7 5.0 1.68 0.23 4.44 -4.40 4.93 6.30 2.9 23 -12.9 -19.6 15.0 11.1 7.0 2.1 
NProf A c13 230 12.42 7.73 202 255 13.3 12.6 1.70 0.32 3.18 -2.86 3.14 2.97 3.2 19 -15.8 -18.4 12.6 5.6 8.5 2.0 
NProf A c14 221 30.40 14.28 182 337 45.7 9.1 1.63 0.17 4.02 -4.19 3.75 5.02 2.4 17 -13.8 -22.4 14.9 9.9 7.2 1.8 
NProf A c15 231 23.60 21.88 182 269 21.7 11.9 1.62 0.28 3.42 -3.31 2.86 3.71 2.5 17 -17.3 -23.2 13.5 5.9 6.9 1.9 
NProf A c16 224 21.15 10.40 189 268 24.1 15.7 1.71 NA 6.15 -3.55 3.90 2.29 3.7 17 -15.9 -23.8 12.5 13.9 8.7 1.6 
NProf A c17 233 19.94 8.36 191 306 27.2 17.6 1.63 0.24 4.73 -3.71 4.81 4.38 3.5 23 -16.3 -26.0 13.6 6.9 7.6 1.8 
NProf A c18 224 25.82 7.78 181 296 30.2 6.6 1.77 0.30 3.58 -4.41 2.95 3.61 3.3 19 -11.7 -22.4 14.1 12.5 6.5 1.7 
NProf A c19 225 16.40 13.54 198 252 11.4 24.3 1.60 0.37 3.56 -3.77 2.09 3.21 2.8 19 -15.5 -24.9 13.5 4.8 7.6 1.8 
NProf A c20 230 20.39 11.82 200 269 62.4 16.4 1.83 0.42 5.21 -4.14 4.80 3.16 2.6 19 -17.4 -23.8 13.5 7.6 6.7 1.9 
NProf A c21 228 16.86 4.96 190 267 18.3 7.8 1.73 0.17 1.63 -2.64 1.08 3.37 3.5 24 -15.2 -24.1 13.6 9.1 7.1 2.1 
