subj chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
CV v1 84 13.77 7.05 76 120 21.0 5.2 1.26 0.29 0.88 -0.87 2.05 1.43 2.9 13 -11.8 -16.3 5.0 10.2 10.8 1.3 
CV v2 101 15.79 10.27 76 149 24.3 36.9 1.09 0.46 2.16 -1.37 1.57 3.42 5.6 12 -6.6 -8.2 2.5 10.1 11.3 2.1 
CV v3 104 4.94 3.95 93 113 3.7 14.3 2.08 0.17 1.48 -0.65 1.11 0.91 3.0 11 -10.8 -13.4 6.4 10.3 10.2 2.0 
CV v4 89 7.09 4.63 80 103 NA NA NA NA NA -0.23 0 0.45 4.4 11 -7.5 -8.6 2.4 8.3 13.4 2.3 
CV v5 84 12.43 5.15 79 121 18.4 11.1 1.57 0.36 2.26 -0.73 1.92 1.86 3.3 10 -7.7 -17.9 2.7 10.8 11.9 3.1 
CV v6 87 7.18 4.87 80 109 13.4 10.2 1.69 0.40 1.01 -1.12 1.91 0.89 2.8 10 -10.5 -12.6 4.5 8.6 10.7 2.0 
CV v7 85 20.55 5.07 81 197 41.6 11.6 1.18 0.28 3.60 -1.73 3.24 2.43 4.3 10 -5.5 -10.9 1.6 4.5 14.1 3.0 
CV v8 81 4.35 2.87 76 94 7.5 24.7 0.65 NA 0.14 -0.27 0.05 0.51 5.2 11 -6.1 -10.0 1.6 7.0 12.8 2.9 
CV v9 92 5.34 4.10 81 100 5.3 10.4 0.99 0.15 0.39 -0.39 0.46 0.66 3.3 13 -9.0 -11.8 5.0 9.3 11.6 2.4 
CV v10 127 0.29 0.24 126 127 NA NA NA NA 0.29 0 0.23 0 6.2 11 -5.1 -7.3 -0.01 6.8 NA 2.4 
CV v11 84 16.24 8.96 77 124 22.8 13.1 0.63 NA 0.67 -0.21 1.65 0.39 5.0 10 -6.8 -8.1 1.8 8.1 14.8 3.3 
CV v12 90 16.66 12.84 77 133 NA NA NA NA 3.10 -0.42 1.80 0.94 4.0 12 -11.7 -17.3 1.9 11.0 16.2 1.8 
CV v13 88 17.02 6.46 75 130 21.0 23.5 0.94 NA 1.52 -0.64 1.88 1.39 5.5 12 -5.6 -8.4 -0.3 7.7 19.5 3.6 
CV v14 78 4.04 4.30 75 86 5.4 21.8 0.44 NA 0.10 -0.14 0.13 0.30 5.7 11 -4.4 -7.1 0.4 -2.6 13.3 2.7 
JM v1 87 9.13 4.82 81 114 15.8 14.3 2.17 0.08 1.37 -1.03 1.50 1.90 1.7 19 -22.8 -29.5 6.9 19.6 9.8 2.5 
JM v2 96 17.43 9.31 85 150 22.4 21.3 1.58 0.20 3.16 -2.36 3.29 2.45 1.5 16 -22.0 -25.3 8.3 19.1 12.5 2.7 
JM v3 97 11.05 10.89 77 117 13.2 5.1 1.94 0.43 1.27 -1.27 0.80 0.74 1.8 17 -19.9 -30.2 8.6 20.3 11.1 2.8 
JM v4 89 7.49 2.62 82 123 18.3 6.5 2.08 0.49 2.99 -0.28 3.54 0.47 1.5 16 -19.6 -21.1 6.9 23.1 10.6 2.2 
JM v5 139 8.22 5.74 127 154 7.6 7.5 2.70 0.08 2.50 -1.25 1.43 1.54 3.2 17 -22.1 -43.1 8.3 18.2 14.3 2.7 
JM v6 98 7.11 4.42 80 111 6.4 21.0 3.45 NA 3.59 -0.92 2.26 1.09 1.8 18 -23.3 -34.5 8.2 21.1 14.5 1.9 
JM v7 138 28.86 22.34 105 194 37.6 3.4 1.45 0.60 3.75 -3.09 3.09 3.03 2.2 14 -22.2 -34.7 9.7 11.2 11.0 2.8 
JM v8 99 6.85 4.12 80 110 5.7 17.7 2.29 0.07 1.81 -1.18 1.09 1.30 2.8 16 -21.8 -25.1 5.5 20.5 12.8 2.5 
JM v9 162 24.33 13.91 96 195 17.6 4.2 2.59 0.08 3.82 -3.10 3.41 3.11 2.7 16 -20.5 -28.1 8.5 13.1 9.8 2.5 
JM v10 101 7.61 5.93 81 112 6.8 10.7 1.79 0.06 1.32 -1.03 1.14 1.31 1.8 18 -20.6 -25.4 6.8 19.6 12.1 3.2 
JM v11 95 15.92 13.20 82 131 23.1 3.6 1.47 0.58 1.88 -0.40 1.83 0.64 2.6 18 -21.1 -23.8 7.2 19.1 11.2 2.2 
JM v12 130 31.55 30.19 79 179 14.5 32.1 1.32 NA 6.09 -2.89 4.88 3.82 1.8 18 -23.9 -28.7 9.2 18.7 11.5 2.0 
JM v13 106 12.25 9.07 81 125 1.1 10.7 0.95 NA 2.23 -1.14 1.33 2.06 2.0 19 -21.3 -26.9 7.0 20.1 10.5 2.2 
JM v14 96 19.23 15.68 86 148 NA 56.2 NA NA 3.12 -1.55 4.89 2.19 0.9 17 -23.2 -24.0 6.3 17.2 12.3 3.4 
ML v1 151 20.08 3.64 125 204 25.3 7.2 2.27 0.34 2.71 -2.05 3.36 4.00 3.2 20 -11.3 -18.8 7.4 15.0 15.1 1.6 
