subj type IPI durSIL 
CV p NA 2060 
CV p 3.20 658 
CV p 3.22 2256 
CV p 4.98 1491 
CV p 4.02 2763 
CV p 6.01 1523 
CV p 8.94 1812 
CV p 3.19 2136 
CV p 3.85 2962 
CV p 3.58 2240 
CV p 4.62 1932 
CV p 3.25 1252 
CV p 2.67 2504 
CV p 3.72 1988 
CV p 2.38 652 
CV p 1.45 2808 
CV p 5.51 2577 
CV p 4.29 1485 
CV p 2.51 2776 
CV p 5.35 2362 
CV p 4.04 2304 
CV p 3.34 1802 
JM p NA 275 
JM p 1.71 860 
JM p 1.50 122 
JM p 1.16 134 
JM p 0.82 176 
JM p 0.84 581 
JM p 2.71 618 
JM p 2.71 930 
JM p 2.54 553 
JM p 1.21 159 
JM p 1.43 665 
JM p 1.64 180 
JM p 1.50 315 
JM p 1.14 562 
JM p 1.64 275 
JM p 2.32 663 
JM p 1.67 578 
JM p 1.87 751 
JM p 1.89 352 
JM p 1.30 838 
JM p 3.05 959 
JM p 2.06 717 
JM p 1.64 667 
JM p 2.37 666 
ML p NA 407 
ML p 2.09 903 
ML p 1.63 191 
ML p 1.25 693 
ML p 1.50 381 
ML p 1.10 908 
ML p 3.32 527 
ML p 3.37 989 
ML p 3.22 497 
ML p 1.46 381 
ML p 1.86 693 
ML p 1.72 191 
ML p 1.52 637 
ML p 1.62 713 
ML p 2.31 939 
ML p 1.44 647 
ML p 2.28 693 
ML p 1.80 271 
ML p 1.60 602 
ML p 1.66 492 
ML p 1.40 903 
ML p 2.36 522 
ML p 1.23 1109 
ML p 2.37 562 
ML p 1.64 1024 
ML p 2.42 673 
ME p NA 800 
ME p 2.16 2265 
ME p 4.22 495 
ME p 2.13 868 
ME p 2.73 568 
ME p 2.34 1652 
ME p 3.89 1637 
ME p 2.51 604 
ME p 1.76 691 
ME p 1.95 553 
ME p 1.67 1644 
ME p 2.49 1273 
ME p 2.40 1797 
ME p 2.33 931 
ME p 3.63 473 
ME p 1.47 1419 
ME p 2.37 1026 
ME p 1.98 1710 
ME p 3.66 1317 
ME p 3.30 706 
ME p 2.18 1077 
SC p NA 488 
SC p 2.65 444 
SC p 1.15 171 
SC p 3.85 539 
SC p 1.06 355 
SC p 2.33 1024 
SC p 1.95 240 
SC p 1.52 575 
SC p 1.52 297 
SC p 1.89 492 
SC p 2.94 759 
SC p 1.67 966 
SC p 2.34 1623 
SC p 4.18 808 
SC p 2.17 935 
SC p 2.37 543 
SC p 2.08 480 
SC p 1.79 711 
SC p 3.27 1072 
SC p 2.35 751 
SC p 1.70 1352 
SM p NA 1203 
SM p 2.91 259 
SM p 1.01 331 
SM p 0.99 1052 
SM p 3.34 461 
SM p 2.22 216 
SM p 1.09 1535 
SM p 2.54 317 
SM p 1.82 987 
SM p 1.99 692 
SM p 2.35 519 
SM p 1.77 548 
SM p 2.00 434 
SM p 1.33 367 
SM p 1.72 1210 
SM p 1.75 1419 
SM p 3.31 245 
SM p 1.51 1030 
SM p 2.45 1687 
SM p 2.27 341 
SM p 3.07 1881 
SM p 3.37 283 
SM p 1.59 1758 
SM p 2.69 264 
SM p 1.05 912 
SM p 2.00 1560 
SM p 2.39 737 
SM p 1.62 706 
YR p NA 706 
YR p 3.39 884 
YR p 2.90 725 
YR p 2.99 1526 
YR p 3.49 795 
YR p 1.68 731 
YR p 2.03 636 
YR p 1.40 1806 
YR p 4.47 476 
YR p 1.43 4017 
YR p 4.38 345 
YR p 2.84 596 
YR p 2.67 459 
YR p 1.16 757 
YR p 2.60 1511 
YR p 3.54 1185 
