audiofile chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
Amiens t1 130 15.95 9.26 89 163 12.5 11.1 1.30 0.29 3.58 -2.71 2.49 2.95 1.0 17 -20.6 -28.1 9.4 12.9 11.0 2.7 
Amiens t2 126 23.15 11.31 79 186 21.7 7.1 1.82 0.16 3.60 -1.86 3.05 2.42 1.3 20 -21.2 -30.1 10.7 12.7 9.8 2.3 
Amiens t3 114 25.63 23.25 88 171 28.2 8.1 1.87 0.21 3.52 -2.64 3.71 3.10 1.1 14 -21.6 -28.9 10.2 10.9 11.5 2.4 
Amiens t4 143 33.96 31.31 83 193 35.0 3.0 3.64 NA 5.44 -2.46 3.07 3.09 1.4 20 -21.9 -28.7 8.5 12.5 11.5 2.7 
Amiens t5 108 23.06 9.84 93 185 36.7 8.8 2.00 0.16 4.88 -2.32 5.45 3.88 1.0 15 -21.7 -31.3 8.1 13.1 12.3 3.5 
Amiens t6 113 26.53 16.64 95 196 33.7 18.1 1.76 0.10 5.64 -3.11 4.19 3.22 1.1 18 -21.2 -28.6 8.1 12.9 12.2 3.0 
Amiens t7 108 16.77 7.77 76 161 18.7 11.2 1.98 0.33 3.29 -2.20 3.02 2.13 2.0 18 -18.3 -27.4 7.9 9.5 11.7 2.6 
Amiens t8 123 27.51 16.29 100 197 51.4 16.6 1.51 0.43 6.71 -2.12 6.26 2.28 1.0 18 -20.3 -31.7 8.2 15.7 10.5 2.6 
Amiens t9 123 24.29 11.17 91 193 34.2 18.5 1.65 0.27 5.82 -3.79 5.39 4.06 1.1 19 -20.9 -32.3 8.2 13.3 10.5 2.7 
Amiens t10 123 18.14 8.67 86 171 25.6 16.4 1.73 0.25 4.40 -2.89 4.02 2.66 1.2 16 -20.4 -30.5 7.2 14.0 11.8 3.2 
Angers t1 145 20.17 14.35 95 186 19.2 12.9 1.59 0.19 4.94 -2.83 3.40 3.00 2.7 22 -20.6 -32.3 9.5 18.2 11.0 2.4 
Angers t2 157 29.81 25.20 95 205 34.6 6.9 1.59 0.18 3.68 -2.86 2.14 3.60 2.4 24 -23.9 -38.7 10.5 16.5 12.5 2.2 
Angers t3 140 23.70 13.59 103 199 30.8 11.6 1.46 0.28 4.00 -2.75 3.93 2.25 2.7 18 -21.3 -30.0 11.1 16.8 9.5 2.0 
Angers t4 152 24.04 11.64 92 188 14.5 11.4 1.96 0.10 4.35 -2.42 2.51 3.55 2.2 20 -19.4 -33.3 10.6 18.2 10.1 2.2 
Angers t5 123 18.48 7.07 101 175 28.0 9.6 1.42 0.34 4.60 -2.21 4.87 3.19 1.5 20 -20.6 -32.6 9.1 21.0 10.2 2.1 
Angers t6 158 26.08 14.82 113 235 27.3 7.1 1.63 0.27 5.22 -3.94 3.43 3.88 1.5 22 -23.0 -32.7 10.3 19.6 9.9 2.2 
Angers t7 147 22.36 14.26 97 211 24.9 11.7 1.55 0.24 5.98 -3.14 4.58 2.89 2.9 23 -19.5 -35.6 9.2 19.9 10.8 2.1 
Angers t8 142 19.19 15.36 95 170 10.6 8.3 2.86 0.02 3.63 -2.27 2.13 2.11 2.0 22 -20.9 -29.2 9.1 21.5 10.9 1.8 
Angers t9 143 15.27 9.89 114 193 19.5 22.4 1.51 0.21 5.20 -2.54 4.03 2.52 1.1 24 -22.2 -37.0 11.2 18.4 11.1 2.2 
Angers t10 131 18.17 8.20 94 213 26.4 9.9 1.64 0.12 3.64 -3.76 3.13 3.35 2.5 23 -19.4 -30.1 9.0 21.8 10.5 2.5 
Arsac-en-Velay t1 158 23.77 19.75 92 179 26.2 5.6 1.53 0.14 2.71 -2.20 2.39 2.60 0.8 16 -22.8 -30.2 11.7 12.9 11.9 2.4 
Arsac-en-Velay t2 168 28.17 15.07 113 234 28.2 3.3 1.11 0.19 3.66 -2.96 2.42 3.19 1.8 19 -18.5 -29.2 10.9 12.6 13.1 2.2 
Arsac-en-Velay t3 141 15.12 11.78 119 181 18.5 2.1 1.71 0.33 2.19 -1.31 2.36 1.41 1.4 12 -19.7 -31.4 11.1 11.5 13.9 2.2 
Arsac-en-Velay t4 126 9.48 6.10 81 137 7.5 17.6 1.79 0.64 2.38 -2.53 0.71 3.38 3.6 16 -14.4 -25.1 9.7 15.6 12.9 4.1 
