ling suj estilo sex repet f0med f0sd f0sk df0mean df0sd df0sk emph f0r 
PB AG RE FE 01 94 1.33 0.03 -0.21 3.63 -0.90 1.8 0.95 
PB AG RE FE 02 94 1.26 -0.09 -0.15 3.25 -0.95 1.2 1.19 
PB AG RE FE 03 94 1.58 0.02 -0.17 4.73 -0.59 1.8 0.95 
PB AG RE FE 04 94 1.59 -0.12 -0.28 4.12 -0.21 1.4 0.81 
PB AG RE FE 05 94 1.34 -0.05 -0.27 3.27 -0.38 1.9 0.82 
PB AG RE FE 06 94 1.25 -0.19 -0.21 3.09 -0.71 1.5 0.91 
PB AG RE FE 07 94 1.89 -0.18 -0.57 3.53 -1.16 1.6 1.10 
PB AG RE FE 08 94 1.72 -0.14 -0.05 3.95 -0.98 1.8 0.84 
PB AG RE FE 09 94 1.46 -0.05 -0.15 3.30 0.05 2.1 1.05 
PB AG RE FE 10 95 1.83 -0.28 -0.14 4.79 -1.68 1.7 0.88 
PB AG ST FE 01 94 2.31 -0.12 -0.39 5.36 -0.40 1.5 1.08 
PB AG ST FE 02 94 1.40 -0.08 -0.03 4.24 0.30 2.3 1.16 
PB AG ST FE 03 94 2.26 -0.12 -0.19 4.49 -0.34 1.6 0.88 
PB AG ST FE 04 94 1.66 -0.07 -0.24 4.48 -0.04 1.2 1.02 
PB AG ST FE 05 95 2.60 -0.35 0.002 5.52 -0.66 2.1 0.99 
PB AG ST FE 06 94 1.57 -0.04 0.02 4.19 0.39 1.7 1.04 
PB AG ST FE 07 94 1.66 -0.001 -0.02 4.16 -0.87 1.7 1.12 
PB AG ST FE 08 94 2.20 -0.19 0.09 4.12 -0.90 1.9 1.06 
PB AG ST FE 09 94 1.88 0.03 0.31 5.32 0.31 1.4 0.79 
PB AG ST FE 10 94 2.49 -0.05 0.16 4.73 -0.33 1.1 0.93 
PB CA RE MA 01 87 3.05 -0.01 -0.42 3.86 -0.39 4.6 0.82 
PB CA RE MA 02 85 2.23 0.24 0.11 3.54 2.00 3.9 1.23 
PB CA RE MA 03 85 2.30 0.09 -0.13 3.36 -0.45 3.5 0.76 
PB CA RE MA 04 87 2.43 -0.10 -0.26 3.88 0.19 3.5 1.04 
