perc	cs	sr	mz	SDz	skz	pr	f0med	emph	f0r	nVVcv	durVVcv	durSGcv	ur
0.625	15.52	0.74	9.23	10.9	0.84	0.14	14	0.1	0.01	0.03	0.08	0.12	0.38
-0.75	4.78	0.09	0.51	2.87	0.85	0.02	7	0.1	0.16	0.09	0.13	0.19	0.11
0.625	0.08	0.8	11.93	22.51	2.03	0.14	1	0.9	0.05	0.41	0.12	0.39	0.93
0.75	0.75	1.19	11.31	18.45	0.28	0.39	14	1.1	0	0.47	0	0.39	2.18
0.5	0.19	0.35	2.47	2.41	0.52	0.07	12	0.8	0.18	0.02	0.06	0.04	0.1
0.875	1.12	1.31	10.16	4.7	1.06	0.29	12	3.8	0.07	0.07	0.08	0.05	1.75
1	5.87	0.33	3.54	4.62	1.75	0.17	21	4.2	0.2	0.08	0.03	0.3	0.52
-0.375	0.11	0.22	0.42	0.47	0.34	0.06	16	0.2	0.21	0.01	0.31	0.11	0.57
-0.375	2.86	0.44	1.52	1.48	0.55	0.02	21	3.6	0.3	0.02	0.32	0.01	0.67
0	3.25	0.18	0.52	0.83	1.36	0.12	19	3.4	0.13	0.04	0.06	0.11	0.43
0.375	0.98	0.42	3.71	0.02	2.56	0.05	82	4.8	0.08	0.03	0.22	0.03	0.46
-0.5	1.37	0.26	4.53	4.14	0.14	0.1	13	0.1	0.08	0.04	0.06	0.04	0.16
-1	0.48	0.21	0.57	0.48	0.82	0.04	0	0.4	0.08	0.05	0.22	0.18	0.2
-0.875	3.52	0.1	0.58	0.5	0.18	0.09	18	0.2	0.32	0.18	0.02	0.31	0.11
-0.875	1.24	0.21	2.01	1.77	0.4	0.09	32	0	0.21	0.04	0.09	0.09	0.08
