vowel	F2	rateF2	F2transtime	f0Median	Baseline	SpectEmph	subj
EN	NA	NA	NA	161	155	10.9	susp
EN	NA	NA	NA	146	140	10.6	susp
a	1920	7.4	5	137	137	9.0	susp
e	1912	-5.2	5	139	138	6.2	susp
AN	NA	NA	NA	125	123	9.5	susp
u	1244	-13.7	10	149	146	10.7	susp
a	1186	5.0	5	NA	NA	NA	susp
a	1538	-2.0	5	139	134	12.1	susp
ANUN	NA	NA	NA	144	144	8.5	susp
aU	904	8.5	5	121	114	11.0	susp
IN	NA	NA	NA	135	128	10.7	susp
A	1628	5.9	5	129	129	9.8	susp
a	1137	10.8	5	131	127	11.7	susp
a	1585	5.0	5	134	133	9.8	susp
Ua	1106	-4.6	5	131	130	13.3	susp
UAN	859	1.3	5	121	115	9.0	susp
aU	1171	-3.2	5	133	127	12.4	susp
a	1478	-10.4	5	122	115	11.7	susp
i	2251	-3.6	5	NA	NA	NA	susp
a	1584	-21.6	10	NA	NA	NA	susp
a	1584	-1.6	5	176	175	13.9	susp
A	1601	-1.6	5	170	170	8.1	susp
IN	NA	NA	NA	195	192	5.8	susp
i	2177	-0.3	5	210	207	8.7	susp
Ia	1886	-8.6	5	148	139	10.7	susp
EN	NA	NA	NA	129	124	9.8	susp
U	1814	-3.2	5	142	141	11.3	susp
aU	963	-19.6	15	135	125	11.9	susp
A	1792	7.9	5	130	127	6.8	susp
oh	1062	-3.3	5	196	191	13.4	susp
A	1171	-3.1	5	138	132	10.1	susp
a	1327	-4.3	5	138	133	12.5	susp
a	1211	7.2	30	125	119	10.8	susp
U	1936	-10.9	5	119	117	7.4	susp
e	1705	0.6	5	131	129	10.5	susp
EN	NA	NA	NA	136	134	10.3	susp
A	1648	2.3	5	141	140	10.4	susp
oU	2315	-5.1	5	136	134	10.3	susp
a	1501	-0.3	5	134	131	10.4	susp
IN	NA	NA	NA	147	142	5.1	susp
a	1545	0.8	5	154	152	11.0	susp
A	1772	12.8	5	NA	NA	NA	susp
IN	NA	NA	NA	145	143	7.2	susp
Ia	1749	-2.3	5	133	132	11.0	susp
eU	1359	-18.4	20	143	142	7.3	susp
ohU	818	-0.4	5	126	119	11.4	susp
aI	1561	-19.9	15	125	122	5.7	susp
