Vv dur z smoothz bound 
uv 111 -2.09 -1.55 0 
eNt 203 -0.47 -1.01 0 
Us 234 3.20 1.57 0 
uU 209 2.80 1.94 1 
ius 271 -0.44 1.46 0 
ohUd 291 3.44 1.35 0 
iSk 208 -0.78 0.83 0 
ut 214 1.21 0.75 0 
iANUk 308 1.16 0.39 0 
UaUd 222 -0.95 -0.09 0 
uSd 203 -0.80 -0.24 0 
oIS 250 1.32 -0.17 1 
ehR 116 -1.38 -0.53 0 
um 140 -1.25 0.15 0 
aISf 325 0.63 1.70 0 
ohRtk 639 9.11 2.76 1 
UaNd 146 -3.20 0.77 0 
Up 112 -0.69 -0.34 0 
as 234 0.12 -0.46 0 
ouNv 269 -0.91 0.42 0 
Iazh 320 1.36 1.79 0 
aNt 370 6.18 2.90 1 
iNv 199 0.55 2.13 0 
oUtn 325 2.01 1.20 0 
uNk 184 -0.97 1.26 0 
az 231 0.67 3.40 0 
ak 849 12.71 6.28 1 
aUv 291 3.68 5.76 0 
elU 369 6.02 3.97 0 
ap 191 -0.45 1.27 0 
oS 150 -0.94 0.19 0 
taR 233 -0.20 0.51 0 
ANUk 280 3.04 1.40 1 
Iak 362 1.82 1.18 0 
el 135 -0.95 0.22 0 
IkIpR 306 0.18 -0.41 0 
im 117 -1.36 -0.78 0 
eIR 138 -1.11 -0.76 0 
Uk 138 0.42 -0.60 0 
oNs 182 -1.69 -0.55 0 
Ig 102 -0.20 -0.09 0 
is 236 1.73 0.33 1 
obR 180 -0.69 0.13 0 
ig 139 0.007 0.01 0 
aR 167 0.12 -0.003 0 
uv 163 0.12 0.04 1 
iazh 268 -0.31 0.02 0 
aNt 226 0.45 0.09 1 
atR 241 -0.04 -0.10 0 
aR 153 -0.21 -0.40 0 
uk 143 -1.52 0.04 0 
az 198 0.03 1.59 0 
akUs 857 8.72 3.09 1 
eR 120 -0.93 1.63 0 
iAk 251 0.76 0.08 0 
oNs 152 -2.70 -1.24 0 
id 127 -0.64 -1.31 0 
eR 96 -2.07 -1.45 0 
ad 180 -0.21 -1.34 0 
um 102 -3.22 0.54 0 
aISf 304 0.13 5.07 0 
ohRt 961 25.46 9.33 1 
uv 132 -1.20 5.72 0 
eNt 226 0.44 2.49 0 
Us 213 2.48 0.84 0 
uUk 254 0.90 0.04 0 
om 70 -4.28 -1.30 0 
es 237 1.01 -1.43 0 
oU 81 -3.69 -1.75 0 
as 196 -0.62 -1.25 0 
opR 188 -1.20 -1.01 1 
aRk 267 0.49 -1.06 0 
uNm 139 -3.05 -1.83 0 
uNt 144 -2.89 -1.62 0 
af 216 -0.09 1.50 0 
oRs 316 2.40 6.37 0 
Am 606 24.50 9.87 1 
aSk 318 0.54 5.37 0 
UaNt 176 -2.95 1.03 0 
Um 110 0.12 -0.31 0 
aIS 262 1.61 0.40 0 
opR 191 -1.09 2.23 0 
av 335 3.00 5.76 0 
Am 528 20.54 8.51 1 
aIS 205 -0.13 4.94 0 
uv 170 0.41 1.74 0 
iazh 234 -0.96 0.46 0 
aNts 428 3.38 0.96 1 
iNbR 206 -0.43 0.48 0 
ulh 159 -0.57 0.11 0 
av 234 0.93 -0.008 0 
An 97 -0.58 -0.39 0 
us 174 -0.88 -0.82 0 
eUk 166 -1.74 -0.05 0 
az 182 -0.28 2.17 0 
ak 820 12.14 4.26 1 
at 176 -0.75 2.53 0 
ehk 181 -0.42 0.98 0 
IUv 161 1.72 0.70 0 
eNt 208 -0.27 1.18 0 
Us 237 3.32 1.77 1 
uUd 264 1.99 1.55 0 
ez 160 -0.45 4.81 0 
iSt 317 1.82 12.31 0 
I 756 50.05 19.78 1 
us 204 0.19 12.16 0 
ohUbR 263 1.27 4.54 0 
ilh 200 1.33 0.42 0 
oU 105 -1.98 -0.10 0 
iNt 229 0.80 0.09 0 
aNUk 245 0.99 0.13 1 
oNt 186 -1.19 -0.33 0 
od 165 -0.14 -0.59 0 
iNt 168 -1.60 -0.59 0 
eNs 243 0.47 0.26 0 
Id 127 0.57 3.72 0 
ad 399 4.24 9.65 0 
I 518 33.04 14.42 1 
iim 321 2.89 9.09 0 
ed 177 0.34 3.09 0 
at 178 -0.72 0.05 0 
am 144 -1.05 0.41 0 
eNt 304 3.55 1.49 1 
IUv 163 1.80 1.41 0 
Iazh 258 0.12 0.68 0 
aNt 200 -0.59 0.09 0 
It 163 1.10 -0.16 0 
iR 88 -1.35 -0.74 0 
oU 107 -1.87 -0.96 0 
uk 185 0.08 0.36 0 
az 175 -0.40 2.52 0 
ak 832 12.38 4.49 1 
uv 143 -0.72 2.71 0 
eNt 210 -0.20 1.43 0 
Us 221 2.74 1.06 0 
uUt 262 1.17 0.60 0 
ev 108 -2.18 -0.42 0 
Ias 310 0.51 -0.87 0 
iNd 127 -2.29 -1.36 0 
ir 118 -1.55 -1.44 0 
ek 164 -0.90 -1.33 0 
onh 132 -1.88 -1.10 0 
es 198 -0.27 -0.55 0 
eR 143 0.15 -0.05 0 
as 244 0.32 0.13 1 
Up 136 0.39 -0.18 0 
eR 113 -1.27 -0.66 0 
IoR 152 -1.65 -0.62 0 
Id 142 1.19 0.13 0 
ad 191 0.03 0.69 0 
Id 159 1.87 1.40 0 
Us 182 1.37 1.54 1 
