sujeito	condicao	postura	durinh	ampinh	durexp	durBG	F0median	F0sd	F0max	F0min	F0range	F0rate
JN	HB	SENT	1.242	0.184	1.100	2.342	81	2	84	75	9	1.3
JN	HB	SENT	0.925	0.041	1.108	2.033	79	1	84	76	7	1.5
JN	HB	SENT	0.942	0.039	2.524	3.466	79	2	82	75	7	0.9
JN	HB	SENT	0.761	0.026	2.114	2.875	79	1	82	76	5	1.0
JN	HB	SENT	0.177	0.00009	1.093	1.270	78	1	79	75	4	1.6
JN	HB	SENT	1.185	0.147	6.311	7.497	78	2	83	75	9	1.2
JN	HB	SENT	1.093	0.106	0.232	1.325	78	5	98	75	23	0.8
JN	HB	SENT	1.082	0.068	4.092	5.174	79	3	99	75	24	1.4
JN	HB	SENT	0.410	0.001	1.488	1.898	79	1	82	76	6	1.6
JN	HB	SENT	1.460	0.176	1.910	3.370	80	2	83	75	8	0.9
JN	HB	SENT	0.215	0.0004	2.991	3.206	78	1	82	76	6	1.2
JN	HB	SENT	1.198	0.120	4.868	6.066	79	2	83	75	9	1.2
JN	HB	SENT	1.119	0.108	2.239	3.358	79	2	83	75	8	0.9
JN	HB	SENT	1.033	0.074	3.831	4.864	79	2	82	75	7	1.0
JN	HB	SENT	1.105	0.108	3.895	5.000	78	1	82	76	7	1.0
JN	HB	SENT	1.005	0.095	0.677	1.682	78	1	81	75	5	1.2
JN	HB	SENT	1.073	0.081	0.533	1.606	79	2	83	75	9	0.6
JN	HB	SENT	0.770	0.024	2.933	3.703	78	1	82	75	6	1.4
JN	HB	EMPE	0.919	0.093	2.444	3.363	79	1	82	76	6	1.2
JN	HB	EMPE	1.076	0.156	1.524	2.600	79	2	82	75	7	1.5
JN	HB	EMPE	1.050	0.087	2.525	3.575	78	2	82	75	7	0.8
JN	HB	EMPE	0.957	0.073	1.044	2.002	79	2	83	75	8	1.0
JN	HB	EMPE	0.994	0.043	4.803	5.797	78	2	82	75	7	1.0
JN	HB	EMPE	0.614	0.009	0.679	1.293	78	1	80	75	5	0.8
JN	HB	EMPE	1.220	0.150	5.094	6.314	78	2	82	75	7	1.1
JN	HB	EMPE	1.171	0.137	1.754	2.924	78	5	101	75	26	0.7
JN	HB	EMPE	1.126	0.123	2.313	3.439	78	4	100	75	25	1.2
JN	HB	EMPE	1.153	0.098	0.802	1.955	79	3	92	75	17	1.0
JN	HB	EMPE	0.835	0.008	2.585	3.420	78	2	92	75	16	0.9
JN	HB	EMPE	0.498	0.005	1.379	1.876	79	2	83	75	8	1.6
JN	HB	EMPE	1.168	0.133	2.166	3.334	78	2	82	75	7	0.9
JN	HB	EMPE	1.051	0.070	3.706	4.757	78	1	81	76	6	1.1
JN	HB	EMPE	0.965	0.069	4.941	5.906	78	2	83	75	8	0.8
JN	HB	EMPE	1.014	0.083	0.743	1.757	78	1	82	75	7	1.1
JN	HB	EMPE	1.030	0.090	3.207	4.237	78	3	101	75	26	0.9
JN	PS	SENT	1.266	0.172	1.804	3.070	80	4	101	75	26	1.3
JN	PS	SENT	1.105	0.066	4.635	5.740	80	3	90	76	14	1.0
JN	PS	SENT	1.010	0.098	1.356	2.366	81	4	99	77	22	0.8
JN	PS	SENT	0.811	0.043	1.693	2.504	80	2	84	75	9	0.8
JN	PS	SENT	0.451	0.003	1.014	1.464	80	2	85	76	9	1.4
JN	PS	SENT	1.196	0.168	2.683	3.879	80	2	86	75	11	1.0
JN	PS	SENT	1.107	0.151	5.294	6.401	80	2	86	76	10	1.1
JN	PS	SENT	0.818	0.042	1.096	1.914	80	4	96	75	21	1.0
JN	PS	SENT	0.928	0.053	0.692	1.620	79	3	94	76	18	1.9
JN	PS	SENT	1.418	0.209	5.740	7.158	80	3	91	75	15	0.8
JN	PS	SENT	1.317	0.164	2.119	3.435	82	3	88	77	11	0.9
JN	PS	SENT	1.143	0.100	2.897	4.040	80	3	86	75	11	1.2
JN	PS	SENT	1.087	0.093	6.270	7.357	81	3	91	76	16	0.8
JN	PS	SENT	1.138	0.167	2.783	3.921	82	4	100	76	24	0.8
JN	PS	SENT	1.014	0.120	3.090	4.105	81	3	86	75	12	1.0
JN	PS	SENT	0.628	0.022	0.694	1.322	79	1	82	77	5	0.8
JN	PS	SENT	0.960	0.108	1.807	2.768	81	3	90	77	13	1.1
JN	PS	SENT	0.377	0.003	2.056	2.434	80	3	87	77	11	1.2
JN	PS	SENT	0.738	0.026	0.904	1.641	79	2	83	76	8	1.2
JN	PS	SENT	1.534	0.138	3.641	5.174	80	3	87	75	12	1.0
JN	PS	EMPE	1.152	0.139	2.197	3.349	80	4	100	75	25	1.2
JN	PS	EMPE	0.987	0.064	4.931	5.918	81	3	87	75	12	0.8
JN	PS	EMPE	1.097	0.175	5.146	6.243	80	3	87	76	12	1.1
JN	PS	EMPE	1.280	0.191	2.512	3.793	80	3	101	75	25	1.1
JN	PS	EMPE	1.095	0.095	3.502	4.598	80	2	87	76	10	1.1
JN	PS	EMPE	0.369	0.002	2.419	2.788	79	2	86	76	10	1.1
JN	PS	EMPE	0.976	0.089	0.809	1.786	80	2	84	75	9	1.7
JN	PS	EMPE	1.280	0.149	2.405	3.685	82	5	101	75	26	0.8
JN	PS	EMPE	0.856	0.040	2.810	3.665	80	2	84	75	9	0.8
JN	PS	EMPE	1.163	0.156	2.259	3.422	82	3	89	75	13	0.9
JN	PS	EMPE	1.096	0.098	2.487	3.583	81	3	88	76	12	0.8
JN	PS	EMPE	1.168	0.076	5.963	7.131	80	3	93	75	17	1.1
JN	PS	EMPE	1.167	0.172	2.940	4.107	83	3	90	77	13	1.0
JN	PS	EMPE	1.125	0.118	3.970	5.096	80	5	101	76	25	0.8
JN	PS	EMPE	0.950	0.084	1.684	2.633	81	5	100	77	23	1.5
JN	PS	EMPE	0.466	0.006	1.776	2.242	80	3	88	76	12	1.3
JN	PS	EMPE	0.933	0.087	1.132	2.065	80	2	84	76	9	1.0
JN	PS	EMPE	1.886	0.177	3.233	5.119	79	3	91	75	16	1.0
AL	HB	EMPE	0.742	0.024	4.344	5.086	85	3	93	75	18	1.0
AL	HB	EMPE	0.943	0.116	5.293	6.237	84	4	101	75	26	1.0
AL	HB	EMPE	1.117	0.163	2.861	3.978	83	3	91	78	13	0.8
AL	HB	EMPE	1.006	0.180	7.971	8.976	86	3	95	76	19	0.9
AL	HB	EMPE	1.446	0.253	6.212	7.658	85	3	93	76	17	1.0
AL	HB	EMPE	1.161	0.110	2.416	3.577	84	4	93	78	15	0.6
AL	HB	EMPE	0.972	0.149	0.868	1.839	90	3	92	80	12	0.5
AL	HB	EMPE	0.288	0.037	2.148	2.436	84	3	89	77	12	1.2
AL	HB	EMPE	0.954	0.172	5.122	6.076	85	3	92	76	15	1.2
AL	HB	EMPE	1.317	0.202	2.260	3.577	85	3	88	79	10	0.6
AL	HB	EMPE	0.900	0.088	1.080	1.980	87	2	89	84	6	1.0
AL	HB	EMPE	0.430	0.003	3.197	3.627	85	3	92	76	16	1.1
AL	HB	EMPE	0.878	0.041	3.739	4.616	84	3	95	79	16	1.1
AL	HB	EMPE	0.746	0.047	0.941	1.687	82	3	89	76	14	1.2
AL	HB	EMPE	1.176	0.197	3.540	4.716	83	3	94	77	17	0.8
AL	HB	SENT	0.736	0.032	3.357	4.093	85	3	95	77	18	1.0
AL	HB	SENT	0.801	0.111	0.617	1.418	88	3	91	80	11	1.4
AL	HB	SENT	1.088	0.076	2.872	3.960	85	4	94	75	19	1.0
AL	HB	SENT	1.160	0.230	2.411	3.571	88	4	101	81	19	0.6
AL	HB	SENT	0.712	0.100	3.062	3.774	87	3	100	79	21	1.1
AL	HB	SENT	0.757	0.040	0.501	1.258	81	3	91	77	13	1.6
AL	HB	SENT	0.848	-0.026	1.011	1.859	86	5	93	76	17	1.1
AL	HB	SENT	0.834	0.003	3.722	4.557	86	3	92	78	14	1.3
AL	HB	SENT	1.349	0.110	2.337	3.686	84	4	99	76	23	0.8
AL	HB	SENT	0.929	0.162	5.919	6.848	86	4	92	75	17	1.0
AL	HB	SENT	0.871	0.303	1.744	2.616	86	4	101	76	25	1.1
AL	HB	SENT	1.073	0.104	1.916	2.989	86	4	94	77	16	0.7
AL	HB	SENT	0.937	0.095	3.568	4.505	88	4	95	80	15	0.9
AL	HB	SENT	0.899	0.113	3.207	4.106	87	3	92	76	16	0.7
AL	HB	SENT	0.790	-0.208	1.020	1.810	83	3	90	77	12	1.1
AL	HB	SENT	0.881	-0.039	3.206	4.087	85	3	101	82	20	1.0
AL	PS	EMPE	0.814	0.364	4.920	5.733	94	4	101	81	20	1.2
AL	PS	EMPE	0.908	0.157	0.419	1.327	90	4	95	82	14	1.5
AL	PS	EMPE	0.717	0.191	2.738	3.455	89	4	97	77	21	0.9
AL	PS	EMPE	0.285	-0.293	0.809	1.095	86	5	91	75	16	0.9
AL	PS	EMPE	1.201	0.151	3.215	4.416	87	4	100	80	19	0.7
AL	PS	EMPE	1.788	0.249	0.728	2.517	93	3	98	88	11	0.8
AL	PS	EMPE	0.209	-0.080	3.725	3.934	91	4	99	82	17	1.0
AL	PS	EMPE	0.630	0.029	1.291	1.920	89	4	98	78	19	1.6
AL	PS	EMPE	0.741	-0.007	0.284	1.025	89	5	96	80	16	1.0
AL	PS	EMPE	0.405	0.012	0.549	0.953	84	3	92	80	13	1.0
AL	PS	EMPE	1.479	-0.008	1.876	3.355	89	4	96	77	19	0.6
AL	PS	EMPE	0.270	-0.481	0.558	0.828	91	3	99	88	11	1.2
AL	PS	EMPE	0.714	0.317	3.174	3.888	94	5	101	80	21	1.3
AL	PS	EMPE	1.306	0.100	2.605	3.911	94	6	101	75	26	0.8
AL	PS	EMPE	0.921	0.067	3.196	4.117	91	4	100	84	16	1.2
AL	PS	EMPE	1.192	0.279	1.233	2.425	93	5	101	78	23	0.4
AL	PS	EMPE	0.652	0.212	1.077	1.730	93	4	101	85	15	1.2
AL	PS	EMPE	0.736	0.434	2.052	2.788	93	5	101	81	20	0.7
AL	PS	EMPE	2.476	0.239	1.588	4.065	92	5	101	85	17	0.5
AL	PS	EMPE	0.253	0.194	0.661	0.914	85	6	101	83	19	1.1
AL	PS	EMPE	0.589	0.114	3.871	4.460	93	5	101	81	20	0.9
AL	PS	EMPE	0.963	-0.055	4.215	5.178	93	5	101	76	25	1.0
AL	PS	EMPE	0.661	-0.046	1.426	2.087	93	4	100	84	16	0.5
AL	PS	EMPE	1.544	-0.108	3.226	4.770	92	5	101	79	22	0.8
AL	PS	SENT	0.564	0.032	4.233	4.798	92	4	101	84	17	1.5
AL	PS	SENT	0.985	0.124	3.480	4.465	87	4	98	77	22	1.1
AL	PS	SENT	0.929	0.179	2.288	3.217	90	5	101	78	22	1.2
AL	PS	SENT	1.383	0.200	5.004	6.387	94	5	101	78	23	1.1
AL	PS	SENT	0.746	0.104	2.096	2.842	90	5	101	77	24	1.1
AL	PS	SENT	1.212	0.102	2.493	3.705	89	7	101	75	25	0.8
AL	PS	SENT	0.909	-0.181	2.521	3.430	94	6	101	80	21	1.2
AL	PS	SENT	0.975	0.077	2.321	3.296	93	5	101	80	21	0.9
AL	PS	SENT	1.024	0.040	2.393	3.417	91	4	99	77	22	0.9
AL	PS	SENT	0.903	0.186	2.837	3.740	91	5	100	75	24	0.8
AL	PS	SENT	0.800	0.419	1.627	2.427	89	4	100	84	16	1.2
AL	PS	SENT	1.823	0.160	1.915	3.738	88	6	97	75	22	0.8
AL	PS	SENT	0.746	0.512	3.244	3.989	88	6	101	77	24	1.3
AL	PS	SENT	1.038	-0.103	2.621	3.659	93	5	101	83	17	0.5
AL	PS	SENT	0.678	0.047	0.695	1.373	92	4	98	86	13	1.5
AL	PS	SENT	0.657	0.138	1.163	1.820	91	5	101	82	19	1.1
AL	PS	SENT	1.492	0.081	3.488	4.980	91	5	99	76	23	0.6
